"Title","Artist","ChordProg"
"Plastic Mind","ZUN","vi.V.IV.V"
"A World of Nightmares Never Seen Before","ZUN","vi.V.IV.V"
"Eternal Shrine Maiden","ZUN","vi.V.IV.V"
"Rock Club","Anamanaguchi","vi.V.IV.V"
"Heaven Piercing Giga Drill","Area 11","vi.V.IV.V"
"Virgo","Au5","vi.V.IV.V"
"More Than Ever","Breathe Carolina","vi.V.IV.V"
"Nobody Wins","Brian Fallon","vi.V.IV.V"
"Word Up","Cameo","vi.V.IV.V"
"Making The Most Of The Night","Carly Rae Jepsen","vi.V.IV.V"
"Connect","ClariS","vi.V.IV.V"
"Over You","Daughtry","vi.V.IV.V"
"Golden Chords","Deakin","vi.V.IV.V"
"Gold Slugs","DJ Khaled","vi.V.IV.V"
"Come Undone","Duran Duran","vi.V.IV.V"
"Daniel","Elton John","vi.V.IV.V"
"Inis Mona","Eluveitie","vi.V.IV.V"
"Sleep","Eric Whitacre","vi.V.IV.V"
"Everywhere","Fleetwood Mac","vi.V.IV.V"
"Mountain At My Gates","Foals","vi.V.IV.V"
"No Time for Caution - Interstellar","Hans Zimmer","vi.V.IV.V"
"Islandsljod","Icelandic Folk","vi.V.IV.V"
"Wasn't Expecting That","Jamie Lawson","vi.V.IV.V"
"Stardust","Jay Hardway","vi.V.IV.V"
"June and Johnny","Jon Foreman","vi.V.IV.V"
"Kaleidoscope","Kasbo","vi.V.IV.V"
"When Darkness Falls","Killswitch Engage","vi.V.IV.V"
"Staying","Koda","vi.V.IV.V"
"Rosalina In The Observatory","Koji Kondo","vi.V.IV.V"
"Tal Tal Heights","Link's Awakening","vi.V.IV.V"
"Django Unchained Theme","Luis Bacalov","vi.V.IV.V"
"Innocence ft Aquillo","Madeon","vi.V.IV.V"
"Annie","Neon Indian","vi.V.IV.V"
"Fighting For My Love","Nil Lara","vi.V.IV.V"
"Punch Out - Fight","Nintendo","vi.V.IV.V"
"GBA Sky Garden - Mario Kart DS","Nintendo","vi.V.IV.V"
"Pallet Town","Pokemon Blue and Red","vi.V.IV.V"
"Stand By You","Rachel Platten","vi.V.IV.V"
"Be My Escape","Relient K","vi.V.IV.V"
"S and M","Rihanna","vi.V.IV.V"
"Deranged and Desperate","Saves The Day","vi.V.IV.V"
"Awakening Wolf's Instinct","Senpi","vi.V.IV.V"
"Criminal","Smiley feat Kaan","vi.V.IV.V"
"Jenn Je T'aime","Superbus","vi.V.IV.V"
"Read My Mind","The Killers","vi.V.IV.V"
"New York City Cops","The Strokes","vi.V.IV.V"
"Sky-Filling Departed Spirit - Lightning Word","Wan Wan","vi.V.IV.V"
"Midnight Spell Card","ZUN","vi.V.IV.V"
"Dreamy Pilot","ZUN","vi.V.IV.V"
"Faraway Voyage of 380 000 Kilometers","ZUN","vi.V.IV.V"
"Cemetery of Onbashira - Grave of Being","ZUN","vi.V.IV.V"
"Theme of Eastern Story","ZUN","vi.V.IV.V"
"I Saw The Sign","Ace Of Base","I.vi.IV.V"
"Girl On Fire","Alicia Keys","I.vi.IV.V"
"Trauerfeier Lied","Alligatoah","I.vi.IV.V"
"Akira","Anamanaguchi","I.vi.IV.V"
"Humoresque Op 101 No 7","Antonin Dvorak","I.vi.IV.V"
"Complicated","Avril Lavigne","I.vi.IV.V"
"Big Bang Theory Theme Song","Bare Naked Ladies","I.vi.IV.V"
"If I Had A Million Dollars","Barenaked Ladies","I.vi.IV.V"
"Who Put the Bomp","Barry Mann","I.vi.IV.V"
"Stand By Me","Ben E King","I.vi.IV.V"
"Love's Made a Fool of You","Bobby Fuller Four","I.vi.IV.V"
"Total Eclipse of the Heart","Bonnie Tyler","I.vi.IV.V"
"She's Everything","Brad Paisley","I.vi.IV.V"
"Time Well Wasted","Brad Paisley","I.vi.IV.V"
"Downstream","Braid Soundtrack","I.vi.IV.V"
"The Quiet Things That No One Ever Knows","Brand New","I.vi.IV.V"
"Ooh La La","Britney Spears","I.vi.IV.V"
"Lucky","Britney Spears","I.vi.IV.V"
"Pretty Melody","Butch Walker","I.vi.IV.V"
"Boom Clap","Charli XCX","I.vi.IV.V"
"Baba Yetu","Christopher Tin","I.vi.IV.V"
"Escape from the City","Crush 40","I.vi.IV.V"
"Corridor Of Death","Damjan Mravunac","I.vi.IV.V"
"Let's Dance","David Bowie","I.vi.IV.V"
"Teenager in Love","Dion and the Belmonts","I.vi.IV.V"
"Deck'd","Dom Fera","I.vi.IV.V"
"I Only Want To Be With You","Dusty Springfield","I.vi.IV.V"
"Crocodile Rock","Elton John","I.vi.IV.V"
"Hero","Enrique Iglesias","I.vi.IV.V"
"May It Be","Enya","I.vi.IV.V"
"I'm Like A Lawyer","Fall Out Boy","I.vi.IV.V"
"Aspertia City","Game Freak","I.vi.IV.V"
"King Of Wishful Thinking","Go West","I.vi.IV.V"
"Minority","Green Day","I.vi.IV.V"
"If I knew","Helloween","I.vi.IV.V"
"Heart And Soul","Hoagy Carmichael","I.vi.IV.V"
"The Reason","Hoobastank","I.vi.IV.V"
"Give This Song A Title","Jacksfilms","I.vi.IV.V"
"Secret","Jay Chou","I.vi.IV.V"
"Hallelujah","Jeff Buckley","I.vi.IV.V"
"Closer","Joe Inoue","I.vi.IV.V"
"Baby","Justin Bieber","I.vi.IV.V"
"Renai Circulation--Bakemonogatari OP4","Kana Hanazawa-Satoru Kousaki-meg rock","I.vi.IV.V"
"Lambada","Kaoma","I.vi.IV.V"
"Do Me Good","Keith Moon","I.vi.IV.V"
"Ouka Ranman","KEYTALK","I.vi.IV.V"
"Hallelujah","Leonard Cohen","I.vi.IV.V"
"Anderson Cooper's Secret","LilDeuceDeuce","I.vi.IV.V"
"I'm A Raver","Lipstick","I.vi.IV.V"
"Piano Sonata No 8 ''Pathetique'' - 3rd Movement","Ludwig Van Beethoven","I.vi.IV.V"
"Rude","MAGIC","I.vi.IV.V"
"Walking in Memphis","Marc Cohn","I.vi.IV.V"
"All I Want For Christmas Is You","Mariah Carey","I.vi.IV.V"
"Unwell","Matchbox 20","I.vi.IV.V"
"Terrible Things","Mayday Parade","I.vi.IV.V"
"Leave It All To Me","Miranda Cosgrove","I.vi.IV.V"
"Slow Down","Myla Smith","I.vi.IV.V"
"In the Aeroplane Over the Sea","Neutral Milk Hotel","I.vi.IV.V"
"Nice Guys","nigahiga","I.vi.IV.V"
"Yoshi's Island - Flower Garden","Nintendo","I.vi.IV.V"
"Final Fantasy - Prelude","Nobuo Uematsu","I.vi.IV.V"
"Love is Blue","Paul Mauriat","I.vi.IV.V"
"Chocolate Disco","Perfume","I.vi.IV.V"
"The Thin Ice","Pink Floyd","I.vi.IV.V"
"Bust Your Knee Caps","Pomplamoose","I.vi.IV.V"
"Folding Chairs","Regina Spektor","I.vi.IV.V"
"Poor Little Fool","Ricky Nelson","I.vi.IV.V"
"Unchained Melody","Righteous Brothers","I.vi.IV.V"
"Wonderful World","Sam Cooke","I.vi.IV.V"
"Beautiful Girls","Sean Kingston","I.vi.IV.V"
"Those Magic Changes - Grease","Sha Na Na","I.vi.IV.V"
"Sparks","Steerner ft Corey Saxon","I.vi.IV.V"
"Starlight","Taylor Swift","I.vi.IV.V"
"Can't Stop Singing","Teen Beach Movie","I.vi.IV.V"
"Eternal Flame","The Bangles","I.vi.IV.V"
"I Should Have Known Better","The Beatles","I.vi.IV.V"
"Linda Linda","The Blue Hearts","I.vi.IV.V"
"Every Breath You Take","The Police","I.vi.IV.V"
"I Can't Explain","The Who","I.vi.IV.V"
"Experimental Film","They Might Be Giants","I.vi.IV.V"
"Doctor Worm","They Might Be Giants","I.vi.IV.V"
"For River - Piano - Johnny's Version","To The Moon","I.vi.IV.V"
"Courtesy of the Red White and Blue","Toby Keith","I.vi.IV.V"
"Left Swipe Dat","Truth","I.vi.IV.V"
"Brown Eyed Girl","Van Morrison","I.vi.IV.V"
"I Will Always Love You","Whitney Houston","I.vi.IV.V"
"Cemetery of Onbashira - Grave of Being","ZUN","I.vi.IV.V"
"Hello","Adele","I.vi.IV.V"
"Head Over Feet","Alanis Morissette","I.vi.IV.V"
"Charissa","AM Taxi","I.vi.IV.V"
"Mandy","Barry Manilow","I.vi.IV.V"
"I Am A Building","Black20 Studios","I.vi.IV.V"
"She's Out Of Her Mind","Blink-182","I.vi.IV.V"
"Liquor and Whores","Bubbles and the Shitrockers","I.vi.IV.V"
"This Is What You Came For ft Rihanna","Calvin Harris","I.vi.IV.V"
"Le Festin","Camille","I.vi.IV.V"
"Don't Dream It's Over","Crowded House","I.vi.IV.V"
"Sit Still Look Pretty","Daya","I.vi.IV.V"
"Out Of The Blue","Debbie Gibson","I.vi.IV.V"
"Body Say","Demi Lovato","I.vi.IV.V"
"Delicate Oooz","Emax","I.vi.IV.V"
"Hey Julie","Fountains of Wayne","I.vi.IV.V"
"Top Of The World","Greek Fire","I.vi.IV.V"
"Shoplifter","Green Day","I.vi.IV.V"
"PrimeTime ft Miguel","Janelle Monae","I.vi.IV.V"
"Steven And The Crystal Gems","Jeff Liu","I.vi.IV.V"
"Lost","Katy Perry","I.vi.IV.V"
"My Life Would Suck Without You","Kelly Clarkson","I.vi.IV.V"
"Wooden Doll","Kenshi Yonezu","I.vi.IV.V"
"Rainbow Chicken Dance","MooseHeadMoosic","I.vi.IV.V"
"Calendar Girl","Neil Sedaka","I.vi.IV.V"
"Spiderwebs","No Doubt","I.vi.IV.V"
"Playing God","Paramore","I.vi.IV.V"
"Senpai Sucked My Ass","PewDiePie","I.vi.IV.V"
"Si Bheag Si Mhor","Planxty","I.vi.IV.V"
"Welcome Home","Radical Face","I.vi.IV.V"
"Remix 10","Rhythm Heaven Fever","I.vi.IV.V"
"Arizona","Scorpions","I.vi.IV.V"
"Let It Happen","Tame Impala","I.vi.IV.V"
"Blank Space","Taylor Swift","I.vi.IV.V"
"The Best Day","Taylor Swift","I.vi.IV.V"
"Surfer Girl","The Beach Boys","I.vi.IV.V"
"I've Just Seen A Face","The Beatles","I.vi.IV.V"
"No Need To Argue","The Cranberries","I.vi.IV.V"
"Caravan","Van Morrison","I.vi.IV.V"
"Falling For You","Weezer","I.vi.IV.V"
"Senbonzakura","WhiteFlame","I.vi.IV.V"
"Whataya Want from Me","Adam Lambert","I.IV.vi.V"
"Tanner Boyle vs the 7th Grade","AM Taxi","I.IV.vi.V"
"One Last Time","Ariana Grande","I.IV.vi.V"
"Santa Tell Me","Ariana Grande","I.IV.vi.V"
"Something New ","Axwell and Ingrosso","I.IV.vi.V"
"Just Can't Get Enough","Black Eyed Peas","I.IV.vi.V"
"More Than A Feeling","Boston","I.IV.vi.V"
"Peace of Mind","Boston","I.IV.vi.V"
"1985","Bowling For Soup","I.IV.vi.V"
"Summer of 69","Bryan Adams","I.IV.vi.V"
"Show Me What I'm Looking For","Carolina Liar","I.IV.vi.V"
"That's the Way It Is","Celine Dion","I.IV.vi.V"
"Oath","Cher Lloyd feat Becky G","I.IV.vi.V"
"Made Alive","Citizens","I.IV.vi.V"
"Anna Begins","Counting Crows","I.IV.vi.V"
"Youth","Daughter","I.IV.vi.V"
"Home","Daughtry","I.IV.vi.V"
"Skyscraper","Demi Lovato","I.IV.vi.V"
"Stone Cold","Demi Lovato","I.IV.vi.V"
"Rejoice","Dustin Kensrue","I.IV.vi.V"
"Lost And Found","Ellie Goulding","I.IV.vi.V"
"Bad Girls Club","Falling In Reverse","I.IV.vi.V"
"She Drives Me Crazy","Fine Young Cannibals","I.IV.vi.V"
"Club Can't Handle Me","Flo Rida","I.IV.vi.V"
"Dirt","Florida Georgia Line","I.IV.vi.V"
"I Want To Know What Love Is","Foreigner","I.IV.vi.V"
"Ugly Heart","GRL","I.IV.vi.V"
"Don't stop being crazy","Helloween","I.IV.vi.V"
"Concerning Hobbits","Howard Shore","I.IV.vi.V"
"I Bet My Life","Imagine Dragons","I.IV.vi.V"
"Girls Chase Boys","Ingrid Michaelson","I.IV.vi.V"
"superpop 138 AMAJ (whereUnow)","Jack U","I.IV.vi.V"
"Trumpets","Jason Derulo","I.IV.vi.V"
"Silence","Jay Chou","I.IV.vi.V"
"Say","John Mayer","I.IV.vi.V"
"Walt Grace's Submarine Test","John Mayer","I.IV.vi.V"
"Hey Defriender","Jonathan Mann","I.IV.vi.V"
"Canciones de Amor","Julieta Venegas","I.IV.vi.V"
"Croc The Adventure Begins","Justin Scharvona","I.IV.vi.V"
"Wavin' Flag","K'naan","I.IV.vi.V"
"World Cup Theme","K'naan","I.IV.vi.V"
"Breakaway","Kelly Clarkson","I.IV.vi.V"
"Petroleum","Kent","I.IV.vi.V"
"Die Young","Kesha","I.IV.vi.V"
"Shatter Me Featuring Lzzy Hale","Lindsey Stirling","I.IV.vi.V"
"Bossman","Lucky Boys Confusion","I.IV.vi.V"
"Midnight City","M83","I.IV.vi.V"
"Octavia","Marcus Werner","I.IV.vi.V"
"Sooner Or Later","Mat Kearney","I.IV.vi.V"
"Unwell","Matchbox 20","I.IV.vi.V"
"On the Nature of Daylight","Max Richter","I.IV.vi.V"
"astral blast","nanobii","I.IV.vi.V"
"That's How You Know","Nico and Vinz","I.IV.vi.V"
"Dadsong","Old Spice","I.IV.vi.V"
"What Makes You Beautiful","One Direction","I.IV.vi.V"
"Good Life","One Republic","I.IV.vi.V"
"That Green Gentleman","Panic At The Disco","I.IV.vi.V"
"Lost For Words","Pink Floyd","I.IV.vi.V"
"Fidelity","Regina Spektor","I.IV.vi.V"
"Forgiven","Relient K","I.IV.vi.V"
"FourFiveSeconds","Rihanna And Kanye West And Paul McCartney","I.IV.vi.V"
"Junebug","Robert Francis","I.IV.vi.V"
"Call Your Girlfriend","Robyn","I.IV.vi.V"
"Brave","Sara Bareilles","I.IV.vi.V"
"Livin' On The Run","Scott Grimes","I.IV.vi.V"
"Other Side Of Love","Sean Paul","I.IV.vi.V"
"Stitches","Shawn Mendes","I.IV.vi.V"
"Alive","Sia","I.IV.vi.V"
"Dynamite","Taio Cruz","I.IV.vi.V"
"Stay Stay Stay","Taylor Swift","I.IV.vi.V"
"Dirty Little Secret","The All-American Rejects","I.IV.vi.V"
"Mr Brightside","The Killers","I.IV.vi.V"
"Ho Hey","The Lumineers","I.IV.vi.V"
"Stubborn Love","The Lumineers","I.IV.vi.V"
"New Slang","The Shins","I.IV.vi.V"
"Live Like You Were Dying","Tim McGraw","I.IV.vi.V"
"Martha","Tom Waits","I.IV.vi.V"
"House Of Gold","Twenty One Pilots","I.IV.vi.V"
"Where The Streets Have No Name","U2","I.IV.vi.V"
"Shut Up and Dance","Walk The Moon","I.IV.vi.V"
"No Sleep","Wiz Khalifa","I.IV.vi.V"
"Carrot For A Cock","Yogscast","I.IV.vi.V"
"Break Free feat - Ariana Grande","Zedd","I.IV.vi.V"
"Hadouken","Zeds Dead","I.IV.vi.V"
"Even If She Falls","Blink-182","I.IV.vi.V"
"Top Of The World","Greek Fire","I.IV.vi.V"
"Follow Me","Hardwell","I.IV.vi.V"
"Sweatshirt","Jacob Sartorius","I.IV.vi.V"
"Longing for Lullabies ft Titiyo","Kleerup","I.IV.vi.V"
"Rosalina In The Observatory","Koji Kondo","I.IV.vi.V"
"Meet Me In The Woods","Lord Huron","I.IV.vi.V"
"Love Like Ghosts","Lord Huron","I.IV.vi.V"
"True Colors","Marina and the Diamonds","I.IV.vi.V"
"Pumpin Blood","NONONO","I.IV.vi.V"
"Strong Enough","Sheryl Crow","I.IV.vi.V"
"Alone - Au5 and Fractal remix","Singularity","I.IV.vi.V"
"Summertime","The Mowgli's","I.IV.vi.V"
"Headache","Tiny Moving Parts","I.IV.vi.V"
"I Love You","Woodkid","I.IV.vi.V"
"How You Love Me","3LAU","I.V.IV.V"
"Take On Me","A-ha","I.V.IV.V"
"So Long","ABBA","I.V.IV.V"
"Counting Song","Adam Buxton","I.V.IV.V"
"Music of the Night","Andrew Lloyd Webber","I.V.IV.V"
"Russian Unicorn","Bad Lip Reading","I.V.IV.V"
"Somebody Loves You","Betty Who","I.V.IV.V"
"Lonely Is the Night","Billy Squier","I.V.IV.V"
"All The Small Things","Blink 182","I.V.IV.V"
"Hooked On A Feeling","Blue Swede","I.V.IV.V"
"Jessica's Theme","Bruce Rowland","I.V.IV.V"
"Grenade","Bruno Mars","I.V.IV.V"
"Everything I Do","Bryan Adams","I.V.IV.V"
"Acceptable in the 80's","Calvin Harris","I.V.IV.V"
"Keasbey Nights","Catch 22","I.V.IV.V"
"My Heart Will Go On","Celine Dion","I.V.IV.V"
"Silent Hope","Chance Thomas","I.V.IV.V"
"El Poeta","Chino y Nacho","I.V.IV.V"
"With You","Chris Brown","I.V.IV.V"
"Sea Of Love -Remix-","Daze","I.V.IV.V"
"Yee","Dinosaurs","I.V.IV.V"
"I'll Make A Man Out Of You","Disney","I.V.IV.V"
"Do Ya","Electric Light Orchestra","I.V.IV.V"
"Go Down In History","Four Year Strong","I.V.IV.V"
"The Anthem","Good Charlotte","I.V.IV.V"
"Minority","Green Day","I.V.IV.V"
"21 Guns","Green Day","I.V.IV.V"
"American Idiot","Green Day","I.V.IV.V"
"Don't Save Me","Haim","I.V.IV.V"
"I Know","Hank Green","I.V.IV.V"
"It All Makes Sense at the End","Hank Green","I.V.IV.V"
"MMMBop","Hanson","I.V.IV.V"
"Windmill","Helloween","I.V.IV.V"
"Wreck-It Ralph","Henry Jackman","I.V.IV.V"
"I Will Never Be Your Friend","Irish Stew of Sindidun","I.V.IV.V"
"Your Body Is A Wonderland","John Mayer","I.V.IV.V"
"Still Alive","Johnathan Coulton and Ellen McLain","I.V.IV.V"
"Re Your Brains","Jonathan Coulton","I.V.IV.V"
"Waking Up In Vegas","Katy Perry","I.V.IV.V"
"Eh Eh","Lady Gaga","I.V.IV.V"
"You Are A Pirate","LazyTown","I.V.IV.V"
"Cooking By The Book","LazyTown","I.V.IV.V"
"Stairway to Heaven","Led Zeppelin","I.V.IV.V"
"Tangerine","Led Zeppelin","I.V.IV.V"
"History Of A Boring Town","Less Than Jake","I.V.IV.V"
"Don't Let's Talk About Lisa","Lonestar","I.V.IV.V"
"Mozart","Mat Zo and Arty","I.V.IV.V"
"3am","Matchbox 20","I.V.IV.V"
"Leave It With Me","MIKE and Andrew Bennett","I.V.IV.V"
"The Silvery Snowland","Motoi Sakuraba","I.V.IV.V"
"King of Carrot Flowers","Neutral Milk Hotel","I.V.IV.V"
"Warriors","Nicky Romero Vs Volt and State","I.V.IV.V"
"Squid Kid","Nintendo","I.V.IV.V"
"Liverty","Oyuugi Wagamama Dan x PaRADEiS","I.V.IV.V"
"Always","Panama","I.V.IV.V"
"Nom Nom Nom Nom Nom Nom Nom","Parry Gripp","I.V.IV.V"
"Sheep","Pink Floyd","I.V.IV.V"
"Sea of Voices","Porter Robiinson","I.V.IV.V"
"Under Pressure","Queen","I.V.IV.V"
"Catch of the Day","Rhythm Heaven Fever","I.V.IV.V"
"Latitude End - Andre Sobota Remix","Rich Curtis","I.V.IV.V"
"When You Say Nothing At All","Ronan Keating","I.V.IV.V"
"Bonnie and Clyde","Serge Gainsbourg and Brigitte Bardot","I.V.IV.V"
"The First Cut Is The Deepest","Sheryl Crow","I.V.IV.V"
"As I Lay Me Down","Sophie B Hawkins","I.V.IV.V"
"Before The Dive","St Lucia","I.V.IV.V"
"Luigi's Ballad","Starbomb","I.V.IV.V"
"Sparks","Steerner ft Corey Saxon","I.V.IV.V"
"Baby C'mon","Stephen Malkmus","I.V.IV.V"
"Luka","Suzanne Vega","I.V.IV.V"
"Dare You To Move","Switchfoot","I.V.IV.V"
"Style","Taylor Swift","I.V.IV.V"
"Everything Is Awesome","Tegan and Sara","I.V.IV.V"
"There She Goes","The La's","I.V.IV.V"
"The Horse Shoe and the Rabbit's Foot","The Mighty Mighty Bosstones","I.V.IV.V"
"The Package Store Petition","The Mighty Mighty Bosstones","I.V.IV.V"
"Dead Leaves And The Dirty Ground","The White Stripes","I.V.IV.V"
"You Don't Know What Love Is","The White Stripes","I.V.IV.V"
"Nightgown of the Sullen Moon","They Might Be Giants","I.V.IV.V"
"Should've Been A Cowboy","Toby Keith","I.V.IV.V"
"2 4 6 8 Motorway","Tom Robinson Band","I.V.IV.V"
"Crimson and Clover","Tommy James and The Shondells","I.V.IV.V"
"Give me one reason","Tracy Chapman","I.V.IV.V"
"Hey Soul Sister","Train","I.V.IV.V"
"Frame of Mind","Tristam and Braken","I.V.IV.V"
"A-Punk","Vampire Weekend","I.V.IV.V"
"Way Too Much","Wavves","I.V.IV.V"
"Stop Forwarding That Crap To Me","Weird Al Yankovic","I.V.IV.V"
"Real American","WWE","I.V.IV.V"
"Fairy Tail - Main Theme","Yasuharu Takanashi","I.V.IV.V"
"Stardust Witch Meruru - Meteo Impact","Yukari Tamura","I.V.IV.V"
"Tolong Jangan Nangis Bayi","ArmanArX","I.V.IV.V"
"Heaven is a Place on Earth","Belinda Carlisle","I.V.IV.V"
"The Archers Bows Have Broken","Brand New","I.V.IV.V"
"Wild World","Cat Stevens","I.V.IV.V"
"Even If It Breaks Your Heart","Eli Young Band","I.V.IV.V"
"Phantom Hourglass OST- The Great Sea","Hidemaro Fujibayashi","I.V.IV.V"
"Rosette","Le Vent du Nord","I.V.IV.V"
"Brain Power","Noma","I.V.IV.V"
"Heavy Things","Phish","I.V.IV.V"
"Be My Escape","Relient K","I.V.IV.V"
"Give Me Your Love","Sigala","I.V.IV.V"
"Say You Do","Sigala","I.V.IV.V"
"Mama","Spice Girls","I.V.IV.V"
"2 Become 1","Spice Girls","I.V.IV.V"
"Gotta Have You","The Weepies","I.V.IV.V"
"Hey Mickey","Toni Basil","I.V.IV.V"
"Waterloo","ABBA","IV.ii.I64.V.I"
"I Don't Want To Miss A Thing","Aerosmith","IV.ii.I64.V.I"
"Rebellion","Arcade Fire","IV.ii.I64.V.I"
"Trojans","Atlas Genius","IV.ii.I64.V.I"
"All for Leyna","Billy Joel","IV.ii.I64.V.I"
"Bjornes Magasin","Bjorne","IV.ii.I64.V.I"
"I Can't Make You Love Me","Bonnie Raitt","IV.ii.I64.V.I"
"Dancing in the Dark","Bruce Springsteen","IV.ii.I64.V.I"
"When I Was Your Man","Bruno Mars","IV.ii.I64.V.I"
"Everything I Do","Bryan Adams","IV.ii.I64.V.I"
"Rest Of Me","Callaway and Rosta","IV.ii.I64.V.I"
"Organ Symphony No 3 Op 78 - If I Had Words","Camille Saint-Saens","IV.ii.I64.V.I"
"Circle Of Life","Carmen Twillie","IV.ii.I64.V.I"
"Here And Now","Cash Cash","IV.ii.I64.V.I"
"Human Contact","Catey Shaw","IV.ii.I64.V.I"
"Hard To Say I'm Sorry","Chicago","IV.ii.I64.V.I"
"A Thousand Years","Christina Perri","IV.ii.I64.V.I"
"Khe Sanh","Cold Chisel","IV.ii.I64.V.I"
"Look Back","Denzal Park feat Eyelar","IV.ii.I64.V.I"
"Dimension-Reversing Dualities","DIAD","IV.ii.I64.V.I"
"Hakuna Matata","Disney","IV.ii.I64.V.I"
"I Can Go The Distance","Disney - Hercules","IV.ii.I64.V.I"
"Part of Your World","Disney Jodi Benson","IV.ii.I64.V.I"
"Your Song","Elton John","IV.ii.I64.V.I"
"I Can't Help Falling In Love","Elvis Presley","IV.ii.I64.V.I"
"100 Years","Five For Fighting","IV.ii.I64.V.I"
"All Right Now","Free","IV.ii.I64.V.I"
"We Are Young","Fun","IV.ii.I64.V.I"
"Darling","Girl's Day","IV.ii.I64.V.I"
"The Rock Theme","Hans Zimmer","IV.ii.I64.V.I"
"Stick to the Status Quo","High School Musical","IV.ii.I64.V.I"
"Bridge of Khazad-dum","Howard Shore","IV.ii.I64.V.I"
"Concerning Hobbits","Howard Shore","IV.ii.I64.V.I"
"Hyadain no Kakakata Kataomoi-C","Hyadain","IV.ii.I64.V.I"
"Brazilian Flower","Jean Jacques Perrey","IV.ii.I64.V.I"
"IBM 1401 Processing Unit","Johann Johannson","IV.ii.I64.V.I"
"Re Your Brains","Jonathan Coulton","IV.ii.I64.V.I"
"O Holy Night","Josh Groban","IV.ii.I64.V.I"
"Faithfully","Journey","IV.ii.I64.V.I"
"Battle Hymm of the Republic","Julia Howe","IV.ii.I64.V.I"
"Rainbow Road","Kenta Nagata","IV.ii.I64.V.I"
"Morning Music","Konami","IV.ii.I64.V.I"
"Ghosts","Lars Allertz","IV.ii.I64.V.I"
"Fuck You","Lily Allen","IV.ii.I64.V.I"
"Piano Sonata No 8 ''Pathetique'' - 1st Movement","Ludwig Van Beethoven","IV.ii.I64.V.I"
"Symphony No 9 in D minor - 4th Movement","Ludwig Van Beethoven","IV.ii.I64.V.I"
"Like A Prayer","Madonna","IV.ii.I64.V.I"
"Strike Witches - Sweet Duet","Mai Kadowaki - Erika Nakai","IV.ii.I64.V.I"
"Dreaming in Stereo - Under The Moon","Michael Walthius","IV.ii.I64.V.I"
"Easy Love","MSTRKRFT","IV.ii.I64.V.I"
"These Words","Natasha Bedingfield","IV.ii.I64.V.I"
"Moving In The Dark","Neon Trees","IV.ii.I64.V.I"
"World 2 - Super Mario 3D World","Nintendo","IV.ii.I64.V.I"
"Rasen'nawatashi--My Spiral ","NiR-Gerda","IV.ii.I64.V.I"
"Dragostea Din Tei","O Zone","IV.ii.I64.V.I"
"All Or Nothing","O-Town","IV.ii.I64.V.I"
"Let Her Go","Passenger","IV.ii.I64.V.I"
"New","Paul McCartney","IV.ii.I64.V.I"
"The Final Cut","Pink Floyd","IV.ii.I64.V.I"
"NiR-Gerda","Rasen'nawatashi--My Spiral","IV.ii.I64.V.I"
"One For All All For One ","Razihel and Virtual Riot","IV.ii.I64.V.I"
"Roll With The Changes","REO Speedwagon","IV.ii.I64.V.I"
"ERC Song","Ryan","IV.ii.I64.V.I"
"Around My Heart","Sandra","IV.ii.I64.V.I"
"Bridge over Troubled Water","Simon and Garfunkel","IV.ii.I64.V.I"
"Rent I Pay","Spoon","IV.ii.I64.V.I"
"Gentle Annie","Stephen C Foster","IV.ii.I64.V.I"
"Tonight","Stereotronique and Sebastian Ivarsson","IV.ii.I64.V.I"
"It's a Sunshine Day","Steve McCarthy","IV.ii.I64.V.I"
"Good Vibrations","The Beach Boys","IV.ii.I64.V.I"
"Mother Nature's Son","The Beatles","IV.ii.I64.V.I"
"December 1963 - Oh What a Night","The Four Seasons","IV.ii.I64.V.I"
"We Intertwined","The Hush Sound","IV.ii.I64.V.I"
"Make Your Own Kind of Music","The Mamas and The Papas","IV.ii.I64.V.I"
"500 Miles","The Proclaimers","IV.ii.I64.V.I"
"Cabin Down Below","The Royal Concept","IV.ii.I64.V.I"
"The Nanosong","The Sounds of Science","IV.ii.I64.V.I"
"Untouched","The Veronicas","IV.ii.I64.V.I"
"Tinker Tailor","Thomas Feijk","IV.ii.I64.V.I"
"Happy Birthday","Traditional","IV.ii.I64.V.I"
"Till It's Over","Tristam","IV.ii.I64.V.I"
"Tesla","Unitopia","IV.ii.I64.V.I"
"A-Punk","Vampire Weekend","IV.ii.I64.V.I"
"His Cheeseburger","Veggie Tales","IV.ii.I64.V.I"
"Follow You Down","Zedd","IV.ii.I64.V.I"
"Find You","Zedd","IV.ii.I64.V.I"
"Hiroari Shoots a Strange Bird - Till When","ZUN","IV.ii.I64.V.I"
"Beloved Tomboyish Girl","ZUN","IV.ii.I64.V.I"
"Girl's Divinity - Pandora's Box","ZUN","IV.ii.I64.V.I"
"Heartfelt Fancy","ZUN","IV.ii.I64.V.I"
"Paradise - Deep Mountain","ZUN","IV.ii.I64.V.I"
"Ichizu Na Omoi","ASSUMED SOUNDS","IV.ii.I64.V.I"
"I'm A Cuckoo","Belle and Sebastian","IV.ii.I64.V.I"
"Give Me One Good Reason","Blink 182","IV.ii.I64.V.I"
"You're The Inspiration","Chicago","IV.ii.I64.V.I"
"Recess Theme","Denis M Hannigan","IV.ii.I64.V.I"
"Without You","Dillon Francis and TEED","IV.ii.I64.V.I"
