CountryNAe,Region,IncomeGrp,Gender,CleanCook,Refugee,CO2,Fertility,ForestArea,Energy,Output,PopBelow,LegalRights
"Egypt, Arab Rep.",AS,2.LM,1,97.62,213530,2.19898025,3.265,0.07393641,814.988059,8.25928551,21.5237193,2
El Salvador,SLA,2.LM,,86,45,1.00064462,2.079,12.5772204,647.30961,57.8226749,0.49698759,9
Equatorial Guinea,AF,4.H,1,34.39,,4.73381653,4.687,55.4866319,,57.827476,0.94875048,6
Eritrea,AF,1.L,,16.32,2342,,4.133,14.9069305,,0.49261084,0.76754883,0
Estonia,EUR,4.H,1,92.89,322,14.8488192,1.58,51.3365562,4592.61646,14.4187386,2.90647588,7
Eswatini,AF,3.UM,1,49.7,728,0.92871499,3.084,34.3372079,,46.5725806,0,4
Ethiopia,AF,1.L,1,3.51,791631,0.11912401,4.198,12.5395996,496.814601,99.9616748,0,3
Faroe Islands,EUR,,,,,12.2378486,2.6,0.05730659,,60.0714356,6.77179036,
Fiji,AP,3.UM,1,39.56,12,1.32057471,2.516,55.9419813,,45.0158848,4.89292457,5
Finland,EUR,4.H,,100,18401,8.66072124,1.65,73.1071699,6213.35777,44.4990306,1.86456478,7
France,EUR,4.H,,100,304546,4.57318215,1.96,31.2332784,3658.86571,15.8576666,2.89215559,4
French Polynesia,AP,,,,,2.91513482,2.013,42.3497268,,32.0120974,4.96923195,
Gabon,AF,3.UM,,79.12,931,2.76826572,3.786,90.037645,2705.82333,43.7441204,4.93705266,6
"Gambia, The",AF,1.L,1,3.3,7940,0.26768489,5.425,48.3794472,,0,23.5332488,7
Georgia,EUR,2.LM,,77.79,2125,2.41154199,1.996,40.6159146,1177.87041,78.0393243,2.7550125,9
Germany,EUR,4.H,,100,669482,8.88937039,1.5,32.6912068,3779.46192,29.2317701,4.04324938,6
Ghana,AF,2.LM,1,21.71,11865,0.53653338,3.984,41.1593583,335.050529,50.8920024,2.62270564,6
Gibraltar,EUR,,,,,15.5134849,,0,5759.00464,0,29.0115518,
Greece,EUR,4.H,,94.29,46427,6.18033727,1.33,31.6850268,2123.89789,28.6557833,4.49386429,3
Greenland,EUR,,,,,8.98918199,2,0.000536,,81.2915258,46.4598338,
Grenada,SLA,3.UM,1,96.58,1,2.27549831,2.104,49.9705876,,0,1.88581763,6
Guam,AP,,,,,,2.347,46.2962963,,0,1.24819152,
Guatemala,SLA,2.LM,,45.23,300,1.15097799,2.973,32.6950364,830.094516,60.3906674,0.21247546,9
Guinea,AF,1.L,,1.24,5068,0.20749262,4.855,25.7528895,,78.751565,6.04704379,6
Guinea-Bissau,AF,1.L,,1.52,9263,0.15724117,4.633,69.772404,,0,15.2648231,6
Guyana,SLA,2.LM,1,74.48,11,2.63234795,2.51,83.9014478,,0,27.8686511,3
Haiti,SLA,1.L,,4.34,5,0.27053859,2.919,3.49056593,392.801169,7.99614644,1.86798562,2
Honduras,SLA,2.LM,1,53.1,16,1.07522179,2.462,39.9678255,607.86465,42.2755159,0.9044387,9
"Hong Kong SAR, ChiNA",AP,4.H,,,110,6.39360053,1.205,,1970.48413,0.27872732,10.3276898,8
Hungary,EUR,3.UM,1,100,4748,4.26557498,1.45,22.9051154,2314.49643,10.5826907,,9
Iceland,EUR,4.H,,100,179,6.05965741,1.8,0.50374065,17916.1204,99.9787223,7.55774188,5
India,AP,2.LM,1,41.04,197851,1.73000043,2.326,23.8331215,637.42863,15.3430503,2.66496035,6
Indonesia,AP,2.LM,0,58.37,7827,1.81936332,2.363,49.8603982,883.910977,10.6511556,7.36688977,6
"Iran, Islamic Rep.",AP,3.UM,,98.49,979435,8.28302079,1.661,6.56449107,3023.49044,5.10488788,1.27433605,2
Iraq,AS,3.UM,1,97.63,261888,4.81183969,4.37,1.90036115,1413.49626,3.73175474,5.81144126,0
Ireland,EUR,4.H,,100,5731,7.31393981,1.92,11.0277255,2741.57488,27.965408,4.76912467,7
Isle of Man,EUR,,,,,,,6.07017551,,0.83300278,3.51578067,
Israel,EUR,4.H,,100,32946,7.86318135,3.11,7.72643239,2762.50593,1.89020023,1.56587302,6
Italy,EUR,4.H,,100,147370,5.27086679,1.35,31.7903033,2414.484,38.6792252,5.66300232,2
Jamaica,SLA,3.UM,1,90.5,15,2.59321537,2.009,30.9159748,981.312238,10.2620087,3.62941227,9
Japan,AP,4.H,1,100,2514,9.5387061,1.44,68.4562223,3470.76313,15.9847807,12.6466647,5
Jordan,AS,3.UM,0,99.06,2860688,3.00251473,3.378,1.09822032,928.520476,0.967708,0.00292344,0
Kazakhstan,AP,3.UM,1,95.34,653,14.3631697,2.73,1.22569174,4434.63912,8.87402788,,4
Kenya,AF,1.L,1,13.42,451099,0.31041531,3.852,7.81811171,513.426487,87.5142472,0.41161107,7
Kiribati,AP,2.LM,0,5.52,,0.56436836,3.651,14.9999995,,7.27272727,20.5705964,4
"Korea, Dem. People’s Rep.",AP,1.L,,10.8,,1.61359684,1.91,40.7275143,474.239085,72.7960981,5.13153189,
"Korea, Rep.",AP,4.H,1,96.68,1807,11.5703454,1.172,63.3548365,5289.27583,1.89466631,3.04329248,5
Kosovo,,2.LM,1,,,,2.06,,1213.28357,2.28795555,,9
Kuwait,AS,4.H,1,100,939,25.2238644,1.97,0.35072952,8956.82031,0,17.4035544,1
Kyrgyz Republic,AP,2.LM,1,81.25,339,1.64639534,3.1,3.27945777,650.401508,85.1880276,,8
Lao PDR,AP,2.LM,,5.62,,0.29720088,2.698,82.1082326,,86.3699996,0,6
Latvia,EUR,4.H,0,95.28,349,3.49819288,1.7,53.9787697,2176.84331,50.1716971,17.2964817,9
Lebanon,AS,3.UM,,,1476633,4.29573255,1.719,13.4291305,1337.36603,2.60382692,4.12778597,2
Lesotho,AF,2.LM,1,35.61,45,1.15011103,3.094,1.64690382,,100,,5
Liberia,AF,1.L,,0.71,18990,0.21296766,4.581,43.0751661,,0,6.37547716,9
Libya,AS,3.UM,1,,9310,9.18684539,2.274,0.12332769,2880.14393,0,6.16815273,0
Liechtenstein,EUR,4.H,,,163,1.18522908,1.4,43.1250006,,96.8571429,,
Lithuania,EUR,4.H,,100,1093,4.37809012,1.7,34.8328587,2387.27519,39.4081729,2.86811353,6
Luxembourg,EUR,4.H,,100,2046,17.3621214,1.47,35.6790111,6861.10667,32.3816679,0,3
"Macao SAR, ChiNA",AP,4.H,,,,2.17984276,1.311,,,0,39.6455665,
"Macedonia, FYR",EUR,3.UM,1,65.63,637,3.61493818,1.533,39.5717684,1262.55659,35.9369465,0,10
Madagascar,AF,1.L,1,0.91,28,0.13042132,4.184,21.4111378,,54.5964566,1.66352794,2
Malawi,AF,1.L,1,2.5,9392,0.07476291,4.571,33.1883751,,91.306829,0,9
Malaysia,AP,3.UM,1,96.3,92263,8.03299158,2.037,67.5976236,2967.5413,9.95716846,5.0982612,7
Maldives,AP,3.UM,1,93.83,,3.26955985,2.093,3.33333333,,1.27720445,48.236438,2
Mali,AF,1.L,1,0.96,17512,0.08322866,6.057,3.79940829,,43.5163551,0,6
Malta,EUR,4.H,1,100,7948,5.40061396,1.45,1.09374998,1781.50443,7.67459708,2.26084093,2
Marshall Islands,AP,3.UM,1,65.35,,1.94101856,,70.2222241,,0.23337223,35.8678681,10
Mauritania,AS,2.LM,,46.56,74148,0.66682243,4.674,0.21441739,,13.3732535,19.1210784,2
Mauritius,AF,3.UM,1,93.34,,3.35311047,1.4,19.0344825,1111.42217,22.7227227,1.41320254,6
Mexico,SLA,3.UM,1,85.35,6202,3.86624111,2.184,33.9249458,1513.25921,15.3941338,1.58004543,10
"Micronesia, Fed. Sts.",AP,2.LM,,11.97,4,1.44543575,3.145,91.8571472,,1.60116448,8.41057523,10
Moldova,EUR,2.LM,1,92.19,432,1.38682914,1.241,12.575251,928.334773,5.36857659,0.59156439,8
MoNAco,EUR,4.H,,100,32,,,,,0,25.2612817,
